"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"G","Jason Day",12500,"Golf@Golf 08:15AM ET",83.906,"Golf"
"G","Dustin Johnson",12100,"Golf@Golf 08:15AM ET",86.167,"Golf"
"G","Jordan Spieth",11600,"Golf@Golf 08:15AM ET",79.250,"Golf"
"G","Rory McIlroy",11100,"Golf@Golf 08:15AM ET",78.889,"Golf"
"G","Henrik Stenson",10700,"Golf@Golf 08:15AM ET",80.125,"Golf"
"G","Adam Scott",10400,"Golf@Golf 08:15AM ET",81.250,"Golf"
"G","Patrick Reed",10200,"Golf@Golf 08:15AM ET",72.885,"Golf"
"G","Rickie Fowler",10000,"Golf@Golf 08:15AM ET",68.773,"Golf"
"G","Justin Rose",9700,"Golf@Golf 08:15AM ET",69.531,"Golf"
"G","Sergio Garcia",9500,"Golf@Golf 08:15AM ET",74.875,"Golf"
"G","Phil Mickelson",9300,"Golf@Golf 08:15AM ET",70.947,"Golf"
"G","Louis Oosthuizen",9100,"Golf@Golf 08:15AM ET",59.400,"Golf"
"G","Emiliano Grillo",9000,"Golf@Golf 08:15AM ET",65.000,"Golf"
"G","Bubba Watson",8900,"Golf@Golf 08:15AM ET",75.147,"Golf"
"G","Jim Furyk",8800,"Golf@Golf 08:15AM ET",55.429,"Golf"
"G","Brooks Koepka",8700,"Golf@Golf 08:15AM ET",67.389,"Golf"
"G","Hideki Matsuyama",8600,"Golf@Golf 08:15AM ET",63.763,"Golf"
"G","Billy Horschel",8500,"Golf@Golf 08:15AM ET",64.529,"Golf"
"G","Matt Kuchar",8400,"Golf@Golf 08:15AM ET",73.000,"Golf"
"G","Charl Schwartzel",8300,"Golf@Golf 08:15AM ET",75.056,"Golf"
"G","Branden Grace",8200,"Golf@Golf 08:15AM ET",69.214,"Golf"
"G","Daniel Berger",8100,"Golf@Golf 08:15AM ET",63.068,"Golf"
"G","Zach Johnson",8000,"Golf@Golf 08:15AM ET",62.071,"Golf"
"G","Ryan Moore",7900,"Golf@Golf 08:15AM ET",65.632,"Golf"
"G","Paul Casey",7900,"Golf@Golf 08:15AM ET",58.028,"Golf"
"G","Sean O'Hair",7800,"Golf@Golf 08:15AM ET",56.271,"Golf"
"G","Jason Dufner",7800,"Golf@Golf 08:15AM ET",66.646,"Golf"
"G","Brandt Snedeker",7700,"Golf@Golf 08:15AM ET",59.646,"Golf"
"G","Gary Woodland",7700,"Golf@Golf 08:15AM ET",63.909,"Golf"
"G","Kevin Na",7600,"Golf@Golf 08:15AM ET",69.717,"Golf"
"G","Justin Thomas",7600,"Golf@Golf 08:15AM ET",64.958,"Golf"
"G","Russell Knox",7500,"Golf@Golf 08:15AM ET",67.423,"Golf"
"G","Johnson Wagner",7500,"Golf@Golf 08:15AM ET",56.580,"Golf"
"G","Kevin Kisner",7400,"Golf@Golf 08:15AM ET",65.022,"Golf"
"G","Jhonattan Vegas",7400,"Golf@Golf 08:15AM ET",63.729,"Golf"
"G","Si Woo Kim",7300,"Golf@Golf 08:15AM ET",58.433,"Golf"
"G","Charley Hoffman",7300,"Golf@Golf 08:15AM ET",56.250,"Golf"
"G","John Senden",7200,"Golf@Golf 08:15AM ET",53.037,"Golf"
"G","Jamie Lovemark",7200,"Golf@Golf 08:15AM ET",57.759,"Golf"
"G","Jerry Kelly",7100,"Golf@Golf 08:15AM ET",55.977,"Golf"
"G","Kevin Chappell",7100,"Golf@Golf 08:15AM ET",60.542,"Golf"
"G","Steve Stricker",7000,"Golf@Golf 08:15AM ET",61.233,"Golf"
"G","Jimmy Walker",7000,"Golf@Golf 08:15AM ET",60.667,"Golf"
"G","Russell Henley",6900,"Golf@Golf 08:15AM ET",53.479,"Golf"
"G","Roberto Castro",6900,"Golf@Golf 08:15AM ET",62.458,"Golf"
"G","Kyle Reifers",6800,"Golf@Golf 08:15AM ET",56.177,"Golf"
"G","William McGirt",6800,"Golf@Golf 08:15AM ET",62.400,"Golf"
"G","Ryan Palmer",6700,"Golf@Golf 08:15AM ET",67.714,"Golf"
"G","Bill Haas",6700,"Golf@Golf 08:15AM ET",59.095,"Golf"
"G","Brendan Steele",6600,"Golf@Golf 08:15AM ET",61.227,"Golf"
"G","Harris English",6600,"Golf@Golf 08:15AM ET",58.020,"Golf"
"G","J.B. Holmes",6500,"Golf@Golf 08:15AM ET",59.632,"Golf"
"G","Tony Finau",6500,"Golf@Golf 08:15AM ET",58.000,"Golf"
"G","Chez Reavie",6400,"Golf@Golf 08:15AM ET",57.860,"Golf"
"G","Martin Laird",6400,"Golf@Golf 08:15AM ET",57.500,"Golf"
"G","Chris Kirk",6400,"Golf@Golf 08:15AM ET",50.180,"Golf"
"G","David Lingmerth",6300,"Golf@Golf 08:15AM ET",58.519,"Golf"
"G","Graeme McDowell",6300,"Golf@Golf 08:15AM ET",50.109,"Golf"
"G","Aaron Baddeley",6300,"Golf@Golf 08:15AM ET",57.900,"Golf"
"G","Scott Piercy",6200,"Golf@Golf 08:15AM ET",63.114,"Golf"
"G","Fredrik Jacobson",6200,"Golf@Golf 08:15AM ET",57.600,"Golf"
"G","Derek Fathauer",6200,"Golf@Golf 08:15AM ET",49.879,"Golf"
"G","Smylie Kaufman",6200,"Golf@Golf 08:15AM ET",56.000,"Golf"
"G","Webb Simpson",6100,"Golf@Golf 08:15AM ET",62.375,"Golf"
