"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"G","Zach Johnson",13000,"Golf@Golf 06:00AM ET",61.658,"Golf"
"G","Steve Stricker",11800,"Golf@Golf 06:00AM ET",60.769,"Golf"
"G","Jon Rahm",11400,"Golf@Golf 06:00AM ET",82.917,"Golf"
"G","Daniel Summerhays",10600,"Golf@Golf 06:00AM ET",65.104,"Golf"
"G","Kevin Na",10500,"Golf@Golf 06:00AM ET",69.525,"Golf"
"G","Ryan Moore",10300,"Golf@Golf 06:00AM ET",59.469,"Golf"
"G","Gary Woodland",10000,"Golf@Golf 06:00AM ET",64.550,"Golf"
"G","Wesley Bryan",9700,"Golf@Golf 06:00AM ET",57.000,"Golf"
"G","Jerry Kelly",9400,"Golf@Golf 06:00AM ET",56.079,"Golf"
"G","Robert Streb",9200,"Golf@Golf 06:00AM ET",52.667,"Golf"
"G","Robert Garrigus",9000,"Golf@Golf 06:00AM ET",58.706,"Golf"
"G","Brian Harman",8700,"Golf@Golf 06:00AM ET",56.923,"Golf"
"G","Patrick Rodgers",8500,"Golf@Golf 06:00AM ET",54.396,"Golf"
"G","John Senden",8400,"Golf@Golf 06:00AM ET",54.140,"Golf"
"G","Matt Jones",8300,"Golf@Golf 06:00AM ET",47.729,"Golf"
"G","Chris Stroud",8200,"Golf@Golf 06:00AM ET",50.313,"Golf"
"G","Scott Brown",8100,"Golf@Golf 06:00AM ET",53.000,"Golf"
"G","Hudson Swafford",8000,"Golf@Golf 06:00AM ET",57.846,"Golf"
"G","Ricky Barnes",7900,"Golf@Golf 06:00AM ET",54.827,"Golf"
"G","Keegan Bradley",7800,"Golf@Golf 06:00AM ET",49.063,"Golf"
"G","Jamie Lovemark",7700,"Golf@Golf 06:00AM ET",56.480,"Golf"
"G","Rhein Gibson",7600,"Golf@Golf 06:00AM ET",42.605,"Golf"
"G","Adam Hadwin",7500,"Golf@Golf 06:00AM ET",57.957,"Golf"
"G","Geoff Ogilvy",7500,"Golf@Golf 06:00AM ET",39.184,"Golf"
"G","Billy Hurley",7400,"Golf@Golf 06:00AM ET",49.125,"Golf"
"G","Spencer Levin",7400,"Golf@Golf 06:00AM ET",56.222,"Golf"
"G","Seung-Yul Noh",7300,"Golf@Golf 06:00AM ET",50.938,"Golf"
"G","Michael Johnson",7300,"Golf@Golf 06:00AM ET",61.250,"Golf"
"G","Retief Goosen",7200,"Golf@Golf 06:00AM ET",60.733,"Golf"
"G","Stuart Appleby",7200,"Golf@Golf 06:00AM ET",49.050,"Golf"
"G","Cameron Percy",7200,"Golf@Golf 06:00AM ET",52.667,"Golf"
"G","Michael Thompson",7100,"Golf@Golf 06:00AM ET",55.650,"Golf"
"G","Steve Wheatcroft",7100,"Golf@Golf 06:00AM ET",50.065,"Golf"
"G","Ben Martin",7100,"Golf@Golf 06:00AM ET",56.341,"Golf"
"G","Shawn Stefani",7000,"Golf@Golf 06:00AM ET",45.240,"Golf"
"G","Kyle Stanley",7000,"Golf@Golf 06:00AM ET",49.604,"Golf"
"G","Michael Kim",7000,"Golf@Golf 06:00AM ET",53.780,"Golf"
"G","Boo Weekley",7000,"Golf@Golf 06:00AM ET",55.000,"Golf"
"G","Aaron Wise",7000,"Golf@Golf 06:00AM ET",11.500,"Golf"
"G","Thomas Aiken",6900,"Golf@Golf 06:00AM ET",50.348,"Golf"
"G","Vaughn Taylor",6900,"Golf@Golf 06:00AM ET",48.525,"Golf"
"G","Johnson Wagner",6900,"Golf@Golf 06:00AM ET",51.568,"Golf"
